nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
CR PICS BOSQUE DA SAUDE,SEM TIPO,Municipal,"R. JOÃO BAPTISTUSSI, 55",VILA MARIANA,04121-100,5571-2682,-46.623696,-23.59725502,Vila Mariana
CR PICS CIDADE TIRADENTES,SEM TIPO,Municipal,"R. LUIS BORDESE, 96",CIDADE TIRADENTES,08471-790,3808-7813,-46.403868,-23.60349802,Cidade Tiradentes
CR PICS ERMELINO MATARAZZO - PRIMAVERA,SEM TIPO,Municipal,"R. VICTORIA SIMIONATO, 100",ERMELINO MATARAZZO,03808-170,2541-4031,-46.477634,-23.49460501,Ermelino Matarazzo
CR PICS GUAIANASES,SEM TIPO,Municipal,"R. SERRA DAS ARARAS, 314",GUAIANASES,08451-050,2554-4124,-46.40171,-23.53729102,Lajeado
CR PICS SÃO MATEUS - PROF JOSÉ FELICIANO DO NASCIMENTO,SEM TIPO,Municipal,"R. DR AURELIANO DA SILVA ARRUDA, 403",CIDADE SÃO MATEUS,03960-050,2012-5175,-46.483164,-23.59868001,São Mateus
CR PICS SÉ,SEM TIPO,Municipal,"R. FREDERICO ALVARENGA, 259 - 3º AND",PQ DOM PEDRO,01020-030,3112-8133,-46.628102,-23.55124401,Sé
"CRATOD - CENTRO DE REFERÊNCIA DE ÁLCOOL,TABACO E OUTRAS DROGAS",Ambulatório de Especialidades,Estadual,"R. PRATES, 165",BOM RETIRO,01121-000,3329-4455,-46.637127,-23.53235902,Bom Retiro
CS I DR VICTOR ARAUJO H. MELLO - PINHEIROS,Ambulatório de Especialidades,Estadual,"R. FERREIRA DE ARAUJO, 789",PINHEIROS,05428-002,3031-7763 / 3031-8407,-46.69787,-23.56459701,Pinheiros
ESTAÇÃO PREVENÇÃO JORGE BELOQUI,SEM TIPO,Municipal,"ESTAÇÃO METRÔ REPÚBLICA, 1",REPUBLICA,01039-000,,-46.6428051,-23.54402043,República
FACULDADE DE ODONTOLOGIA - USP (CLINICA ODONTOLÓGICA),Clínica Odontológica de Especialidades,Estadual,"AV. PROF. LINEU PRESTES, 2227",CIDUNIVERSITARIA,05508-900,3091-7418,-46.739559,-23.56529502,Butantã
FUNDAÇÃO ONCOCENTRO DE SÃO PAULO,Ambulatório de Especialidades,Estadual,"R. OSCAR FREIRE, 2396",PINHEIROS,05409-012,3797-1845,-46.677991,-23.55124402,Pinheiros
INSTITUTO CLEMENTE FERREIRA,Ambulatório de Especialidades,Estadual,"R. CONSOLAÇÃO, 717",CONSOLAÇÃO,01301-000,3218-8660,-46.647421,-23.54774802,República
IPGG- INSTITUTO PAULISTA DE GERIATRIA E GERONTOLOGIA - JOSÉ ERMIRIO DE MORAES,Ambulatório de Especialidades,Estadual,"PRAÇA PADRE ALEIXO MONTEIRO MAFRA, 34",SAO MIGUEL PAULISTA,08011-010,2030-4067,-46.446277,-23.49191602,São Miguel
SERVICO DE REABILITACAO LUCY MONTORO JARDIM HUMAITA SP,Ambulatório de Especialidades,Estadual,"R GALILEO EMENDABILI, 99",JARDIM HUMAITA,05307-170,3641-9026,-46.743075,-23.52226539,Vila Leopoldina
UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS PADRE ANTONIO LUIZ MARCHIONI - PADRE TICÃO,SEM TIPO,Municipal,"R. FIORAVANTE LOPES GARCIA, 699",ERMELINO MATARAZZO,03811-000,5128-7131,-46.481795,-23.49198302,Ermelino Matarazzo
UNIDADE ODONTOLOGICA MOVEL - NORTE,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. SOLDADO ANTONIO MATIAS DE CAMARGO, 87",PARQUE NOVO MUNDO,02188-050,2975-4218 / 2973-0733,-46.56581777,-23.51195576,Vila Maria
UNIDADE ODONTOLÓGICA MÓVEL - SUDESTE,Centro/Clínica de Especialidades Odontológicas,Municipal,"SIQUEIRA CARDOSO, 277",MOOCA,03163-020,2693-6251,-46.59630681,-23.54655869,Mooca
UNIDADE ODONTOLÓGICA MÓVEL CENTRO,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. FREDERICO ALVARENGA, 259",SE,01020-030,,-46.628234,-23.55105701,Sé
UNIDADE ODONTOLOGICA MOVEL LESTE,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. COMANDANTE CARLOS RUHL, 189",GUAIANASES,08410-130,,-46.4155018,-23.54486943,Guaianases
UNIDADE ODONTOLOGICA MOVEL OESTE,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. BERGSON, 52",VILA LEOPOLDINA,05301-060,3836-8029,-46.720519,-23.53177101,Vila Leopoldina
UNIDADE ODONTOLOGICA MOVEL SUL,Centro/Clínica de Especialidades Odontológicas,Municipal,"R. DR CARLOS PEZZOLO, S/N",JARDIM BELA VISTA,04828-070,,-46.7056434,-23.72332882,Cidade Dutra
URSI BUTANTÃ,Centro de Referência do Idoso/Unidade Referência Saúde Idoso,Municipal,"AV. AFRANIO PEIXOTO, 424",BUTANTA,05507-000,,-46.708873,-23.56722101,Butantã
URSI CAPELA DO SOCORRO,Centro de Referência do Idoso/Unidade Referência Saúde Idoso,Municipal,"R. VENANCIO POLETTI, 228",VILA SAO JOSE,04836-110,5925-4179 / 5929-5979,-46.70895714,-23.73984492,Cidade Dutra
URSI CENTRO,Centro de Referência do Idoso/Unidade Referência Saúde Idoso,Municipal,"R. VITORINO CARMILO, 599",SANTA CECILIA,01153-000,3663-3844,-46.652206,-23.53181202,Santa Cecília
URSI CIDADE ADEMAR,Centro de Referência do Idoso/Unidade Referência Saúde Idoso,Municipal,"R. SEBASTIÃO ANDRADE BONANI, 340",JARDIM PRUDENCIA,04649-050,5678-9364 / 5678-9361,-46.671718,-23.65559602,Cidade Ademar
URSI CONJUNTO AE CARVALHO,Centro de Referência do Idoso/Unidade Referência Saúde Idoso,Municipal,"R. CORRE CORRE, 30",ITAQUERA,08225-550,4780-5111,-46.459708,-23.52615902,Itaquera
