nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
AMA/UBS JARDIM DAS OLIVEIRAS,Unidade Básica de Saúde,Municipal,"R. JOSÉ DA CRUZ CAMARGO, 174",ITAIM PAULISTA,08122-100,2572-0367,-46.380446,-23.49521502,Itaim Paulista
AMA/UBS JARDIM ELBA - HUMBERTO GASTÃO BODRA,Unidade Básica de Saúde,Municipal,"R. BATISTA FERGUSIO, 1016",VILA CARDOSO FRANCO,03978-180,2704-8997,-46.509238,-23.62125101,Sapopemba
AMA/UBS JARDIM GRIMALDI,Unidade Básica de Saúde,Municipal,"R. PEDRO DE CASTRO VELHO, 523",VILA BANCÁRIA,03921-000,2216-8076,-46.516349,-23.59197202,Sapopemba
AMA/UBS JARDIM INDEPENDÊNCIA - HERMENEGILDO MORBIN JR,Unidade Básica de Saúde,Municipal,"R. PLANALTO DE CONQUISTA, 80",JD INDEPENDÊNCIA,03223-170,2211-2772,-46.560206,-23.58861302,São Lucas
AMA/UBS JARDIM IPANEMA,Unidade Básica de Saúde,Municipal,"R. PEDRO RAVARA, 11",JARDIM IPANEMA,05187-300,3941-2119,-46.749058,-23.44634101,Jaraguá
AMA/UBS JARDIM JOAMAR,Unidade Básica de Saúde,Municipal,"R. ADAUTO BEZERRA DELGADO, 230",JD JOAMAR,02320-110,2991-5308,-46.59601224,-23.44883844,Tremembé
AMA/UBS JARDIM LADEIRA ROSA,Unidade Básica de Saúde,Municipal,"R. JOSÉ DA COSTA GAVIÃO, 150",PARQUE TIETÊ,02872-000,3982-6380,-46.673366,-23.46080901,Cachoeirinha
AMA/UBS JARDIM MIRIAM - MANOEL SOARES DE OLIVEIRA,Unidade Básica de Saúde,Municipal,"AV. SANTO AFONSO, 419",AMERICANOPOLIS,04426-000,5626-7158,-46.644494,-23.67856501,Cidade Ademar
AMA/UBS JARDIM MIRNA,Unidade Básica de Saúde,Municipal,"R. DR JUVENAL HUDSON FERREIRA, 13",JARDIM MIRNA,04856-140,5527-8798,-46.696391,-23.77147401,Grajaú
AMA/UBS JARDIM PAULISTANO,Unidade Básica de Saúde,Municipal,"R. ENCRUZILHADA DO SUL, 946",JARDIM PAULISTANO,02816-010,3993-2931,-46.7090157,-23.46148932,Brasilândia
AMA/UBS JARDIM SANTO ANDRÉ,Unidade Básica de Saúde,Municipal,"R. MIGUEL FERREIRA DE MELO, 497",JARDIM SANTO ANDRE,08390-000,2751-4339,-46.443448,-23.63097502,São Rafael
AMA/UBS JARDIM SAO FRANCISCO II,Unidade Básica de Saúde,Municipal,"R. BANDEIRA DE ARACAMBI, 704",JARDIM RODOLFO PIRANI,08310-010,2751-6712,-46.458069,-23.63122402,São Rafael
AMA/UBS JARDIM SÃO JORGE - DR. PAULO EDUARDO ELIAS,Unidade Básica de Saúde,Municipal,"R. ANGELO APARECIDO DOS SANTOS DIAS, 331",JARDIM SÃO JORGE,05568-090,3781-3817,-46.78377,-23.59262202,Raposo Tavares
AMA/UBS JARDIM TIETE I - OSCAR PEREIRA DA SILVA,Unidade Básica de Saúde,Municipal,"AV. ENGENHO NOVO, 120",JARDIM TIETÊ,03943-020,2017-1431,-46.494912,-23.59872801,São Mateus
AMA/UBS JARDIM TRÊS MARIAS - DR. MAURICIO ZAMIJOVSKY,Unidade Básica de Saúde,Municipal,"R. BRENO ACCIOLI, 19",VILA SÃO FRANCISCO,03676-040,2280-4388,-46.492224,-23.51847602,Ponte Rasa
AMA/UBS JOSÉ BONIFÁCIO I,Unidade Básica de Saúde,Municipal,"AV. PROF. OSVALDO DE OLIVEIRA, 610",JD HELENA,08420-280,2557-5136,-46.431168,-23.54283901,José Bonifácio
AMA/UBS LAUZANE PAULISTA,Unidade Básica de Saúde,Municipal,"R. VALORBE, 80",LAUZANE PAULISTA,02442-140,2231-8619 / 2258-5818,-46.641714,-23.47521901,Mandaqui
AMA/UBS MASSAGISTA MÁRIO AMÉRICO,Unidade Básica de Saúde,Municipal,"R. OSCAR DE MOURA LACERDA, 231",SITIO DO MANDAQUI,02541-070,2239-2222,-46.655573,-23.48669701,Casa Verde
AMA/UBS PADRE MANOEL DA NÓBREGA,Unidade Básica de Saúde,Municipal,"AV. PADRE FRANCISCO DE TOLEDO, 545",ARTUR ALVIM,03590-120,2741-7296,-46.48699,-23.54495502,Artur Alvim
AMA/UBS PARI,Unidade Básica de Saúde,Municipal,"R. DAS OLARIAS, 503",CANINDÉ,03030-020,3329-9873 / 3227-0081,-46.620973,-23.52599701,Pari
AMA/UBS PARQUE ANHANGUERA,Unidade Básica de Saúde,Municipal,"AV. PIERRE RENOIR - VIA ANHANGUERA KM 24,5, 100",JARDIM BRITANIA,05269-000,3916-6160,-46.787533,-23.43107502,Anhanguera
AMA/UBS PARQUE BOTURUSSU PROF. DR. HUMBERTO CERRUTI,Unidade Básica de Saúde,Municipal,"AV. OLAVO EGÍDIO DE SOUZA ARANHA, 704",VL CISPER,03822-000,2943-9991,-46.493748,-23.50217802,Ermelino Matarazzo
