nome,categoria,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
FRANCISCO PRESTES MAIA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"R JOSE CAPOBIANCO, 232",,,,-46.73040243,-23.60109057,Vila Sônia
VILA MIRIAM,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"R ANTONIO BIANCHI, 282",,,,-46.71110149,-23.48022538,Pirituba
ARENA RADICAL,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"PCA AUGUSTO RADEMAKER GRUNEWALD, 37",,,,-46.69059008,-23.5965145,Itaim Bibi
SÃO PAULO,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"R BAETINGA, 99",,,,-46.67962802,-23.60525557,Itaim Bibi
VILA OLIMPIA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"R HELION POVOA, 126",,,,-46.67516705,-23.59812193,Itaim Bibi
CEU PARQUE VEREDAS - JOAO ANTONIO DA SILVA,CLUBE DA COMUNIDADE,Clube da Comunidade dos CEUs,Público - Municipal,"DANIEL MULLER, 347",,08141-290,,-46.38977398,-23.51327898,Itaim Paulista
CEU PERA MARMELO,CLUBE DA COMUNIDADE,Clube da Comunidade dos CEUs,Público - Municipal,"PERAMARMELO, 226",,05185-420,,-46.75042776,-23.43706917,Jaraguá
CEU PARQUE ANHANGUERA,CLUBE DA COMUNIDADE,Clube da Comunidade dos CEUs,Público - Municipal,"PEDRO JOSE DE LIMA, 1020",,05267-174,,-46.78728057,-23.44061127,Anhanguera
CEU JACANA,CLUBE DA COMUNIDADE,Clube da Comunidade dos CEUs,Público - Municipal,"FRANCISCA ESPOSITO TONETTI, 105",,02276-010,,-46.5833597,-23.45740619,Tremembé
CEU HELIOPOLIS - ARLETE PERSOLI PROFA,CLUBE DA COMUNIDADE,Clube da Comunidade dos CEUs,Público - Municipal,"DAS LAGRIMAS, 2385",,04232-000,,-46.59411068,-23.6157278,Sacomã
CEU CAMINHO DO MAR - DULCE SALLES CUNHA BRAGA PROFA,CLUBE DA COMUNIDADE,Clube da Comunidade dos CEUs,Público - Municipal,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241",,04325-001,,-46.63640156,-23.66704275,Jabaquara
